Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,User_Rating,Accessibility_Complaints,Last_Inspection_Months,Number_of_Floors,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority
LOC0244,Indore City Centre Mall,Mall,Indore,Madhya Pradesh,22.683799,75.822943,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Average,High,Yes,Yes,Yes,Medium,43,4034,3.4,2,3,2,Average,Yes,87.2,Good,Low
LOC0245,Thane Airport Terminal,Airport,Thane,Maharashtra,19.19561,73.064522,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Average,Good,Medium,No,No,No,Medium,5,15502,4.2,2,13,5,Good,No,91,Excellent,Low
LOC0246,Ahmedabad Degree College,College,Ahmedabad,Gujarat,22.921198,72.438175,No,No,No,No,Yes,No,Yes,Yes,Poor,Good,Medium,Yes,Yes,No,Medium,16,4925,2.3,1,3,2,NA,Yes,51.6,Poor,High
LOC0247,Coimbatore Railway Station,Railway Station,Coimbatore,Tamil Nadu,11.138527,76.831367,No,Yes,No,Yes,No,No,No,No,Average,Good,Medium,Yes,Yes,Yes,High,9,19504,3.7,9,11,1,Good,Yes,62.2,Average,High
LOC0248,Delhi Government College,College,Delhi,Delhi,28.59127,77.230385,No,Yes,No,No,No,No,No,No,Poor,Average,Low,No,No,Yes,High,7,3208,2.9,7,17,2,Good,Yes,27.5,Poor,High
LOC0249,Udaipur Green Park,Park,Udaipur,Rajasthan,24.528091,73.854928,No,No,No,No,No,No,No,Yes,Average,Average,Medium,Yes,No,Yes,Medium,18,2582,3.4,6,0,1,NA,Partial,41.4,Poor,High
LOC0250,Visakhapatnam Plaza Mall,Mall,Visakhapatnam,Andhra Pradesh,17.646224,83.341237,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Good,Poor,Medium,Yes,No,Yes,Low,37,14985,3.8,4,9,6,Good,Yes,92.9,Excellent,Medium
LOC0251,Kanpur Central Station,Railway Station,Kanpur,Uttar Pradesh,26.316263,80.183455,Yes,No,No,No,No,No,No,No,Average,Average,Low,No,Yes,No,Medium,38,5175,3.1,0,19,2,NA,Yes,41.4,Poor,High
LOC0252,Thiruvananthapuram Grand Mall,Mall,Thiruvananthapuram,Kerala,8.37575,77.002045,No,Yes,Yes,Yes,No,No,No,Yes,Average,Good,Medium,Yes,Yes,Yes,High,5,16780,2.7,2,12,5,Good,Partial,70.7,Average,Medium
LOC0253,Thiruvananthapuram Degree College,College,Thiruvananthapuram,Kerala,8.652076,76.984653,Yes,No,No,Yes,Yes,No,Yes,No,Good,Average,Low,Yes,Yes,Yes,Low,38,883,2.9,1,14,1,NA,Yes,73.8,Average,Medium
LOC0254,Hyderabad Degree College,College,Hyderabad,Telangana,17.478063,78.552606,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Poor,Average,Medium,Yes,No,Yes,High,12,4463,3.6,3,23,1,Good,Yes,81.9,Good,Medium
LOC0255,Guwahati Plaza Mall,Mall,Guwahati,Assam,26.22521,91.789045,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,Good,Low,Yes,No,Yes,Medium,33,11140,2.9,4,16,3,Good,Yes,100,Excellent,Medium
LOC0256,Chennai City Bus Stop,Bus Stop,Chennai,Tamil Nadu,13.193232,80.207951,Yes,No,No,Yes,No,No,Yes,No,Average,Poor,High,Yes,Yes,Yes,Medium,18,1142,3.2,3,8,1,NA,Partial,61,Average,Low
LOC0257,Chennai Tehsil Office,Government Office,Chennai,Tamil Nadu,13.100244,80.341111,Yes,No,No,No,No,Yes,Yes,No,Poor,Good,Medium,Yes,Yes,No,Low,23,2708,3.2,3,20,2,NA,Yes,59.2,Average,Medium
LOC0258,Nagpur Public Garden,Park,Nagpur,Maharashtra,21.287718,79.2149,No,No,Yes,Yes,No,Yes,No,Yes,Average,Average,Low,No,Yes,Yes,High,16,924,2.9,4,3,1,NA,No,43,Poor,High
LOC0259,Kanpur Airport Terminal,Airport,Kanpur,Uttar Pradesh,26.420599,80.345031,Yes,Yes,No,No,No,No,Yes,No,Good,Good,Medium,Yes,Yes,Yes,Low,25,5952,4,0,15,3,Good,No,79.8,Good,Low
LOC0260,Nashik Degree College,College,Nashik,Maharashtra,19.914119,73.698831,Yes,No,Yes,No,No,No,No,Yes,Poor,Poor,High,Yes,No,Yes,High,26,4877,3,4,7,2,NA,No,37.8,Poor,High
LOC0261,Indore Botanical Garden,Tourist Attraction,Indore,Madhya Pradesh,22.584886,75.972898,Yes,No,Yes,Yes,No,No,No,No,Poor,Poor,Medium,No,Yes,Yes,Medium,14,1730,2.4,1,14,1,NA,Yes,47.3,Poor,High
LOC0262,Nagpur District Office,Government Office,Nagpur,Maharashtra,21.275544,79.212263,Yes,Yes,Yes,Yes,No,Yes,No,No,Average,Average,Medium,Yes,Yes,No,High,37,1025,3,3,11,1,Good,Yes,80.9,Good,Medium
LOC0263,Nagpur Public Garden,Park,Nagpur,Maharashtra,21.181203,79.031616,No,No,No,No,Yes,Yes,No,No,Average,Average,Medium,No,Yes,No,Low,22,429,3.8,5,16,1,NA,Partial,47,Poor,High
LOC0264,Jaipur Museum,Tourist Attraction,Jaipur,Rajasthan,27.025778,75.653632,No,Yes,No,Yes,Yes,Yes,Yes,No,Poor,Good,Medium,Yes,Yes,Yes,Medium,13,1803,3,3,22,1,Poor,No,57.3,Average,Medium
LOC0265,Thiruvananthapuram Central Station,Railway Station,Thiruvananthapuram,Kerala,8.463565,77.038702,No,Yes,Yes,Yes,No,Yes,No,Yes,Good,Poor,Medium,Yes,Yes,Yes,Low,6,11136,2.4,1,3,1,Poor,No,66,Average,Medium
LOC0266,Thiruvananthapuram Heritage Fort,Tourist Attraction,Thiruvananthapuram,Kerala,8.491074,76.882424,Yes,Yes,Yes,No,No,Yes,No,No,Average,Good,Medium,Yes,Yes,No,Medium,10,2354,4.3,2,20,1,Good,Yes,83.3,Good,Low
LOC0267,Chennai Central Station,Railway Station,Chennai,Tamil Nadu,13.081622,80.345325,Yes,No,No,No,No,No,Yes,Yes,Average,Poor,Low,Yes,Yes,Yes,High,39,19875,2.7,4,17,2,NA,Yes,40.4,Poor,High
LOC0268,Kolkata City Centre Mall,Mall,Kolkata,West Bengal,22.548117,88.394854,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Good,Good,Medium,Yes,No,Yes,Medium,12,8768,4.4,0,19,4,Good,Yes,100,Excellent,Low
LOC0269,Jaipur Multispeciality Hospital,Hospital,Jaipur,Rajasthan,26.844775,75.764667,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Average,Good,Low,Yes,No,No,High,37,2763,3.9,1,7,2,Average,Yes,85.9,Good,Medium
LOC0270,Hyderabad City Centre Mall,Mall,Hyderabad,Telangana,17.394759,78.55737,Yes,Yes,Yes,Yes,No,Yes,No,No,Good,Good,High,Yes,No,Yes,Medium,23,3608,3.5,0,2,3,Average,Partial,100,Excellent,Low
LOC0271,Hyderabad Municipal Office,Government Office,Hyderabad,Telangana,17.286709,78.369973,Yes,Yes,No,No,No,Yes,No,No,Average,Average,Medium,Yes,No,No,Low,14,2260,2.8,4,2,3,Average,Partial,62.9,Average,Medium
LOC0272,Kolkata Botanical Garden,Tourist Attraction,Kolkata,West Bengal,22.690613,88.488111,Yes,No,Yes,No,Yes,No,No,No,Average,Good,Low,No,No,Yes,High,2,2034,3.1,6,0,1,NA,No,41.5,Poor,High
LOC0273,Chandigarh Junction,Railway Station,Chandigarh,Chandigarh,30.715115,76.740738,No,No,Yes,No,Yes,No,No,No,Average,Poor,Low,No,No,Yes,High,7,5376,3.7,7,12,3,NA,Partial,24.7,Poor,High
LOC0274,Guwahati Temple Complex,Tourist Attraction,Guwahati,Assam,26.090466,91.808767,No,Yes,No,No,Yes,No,No,No,Good,Average,Low,No,Yes,Yes,Medium,13,586,2.6,5,8,1,Average,Partial,48.6,Poor,High
LOC0275,Indore Botanical Garden,Tourist Attraction,Indore,Madhya Pradesh,22.815535,75.774434,Yes,No,No,No,Yes,No,No,No,Average,Poor,Medium,Yes,No,Yes,Medium,16,313,1.2,3,12,1,NA,Partial,38.4,Poor,Medium
LOC0276,Mysuru Degree College,College,Mysuru,Karnataka,12.434897,76.762846,Yes,Yes,No,Yes,No,Yes,No,Yes,Average,Good,High,Yes,Yes,Yes,Medium,15,4986,3.1,0,7,1,Good,Yes,97.2,Excellent,Low
LOC0277,Visakhapatnam Bus Stand,Bus Stop,Visakhapatnam,Andhra Pradesh,17.729489,83.196727,Yes,No,No,No,No,No,No,Yes,Poor,Poor,Medium,Yes,Yes,No,Low,21,1788,3,3,8,1,NA,No,31.4,Poor,High
LOC0278,Hyderabad College of Engineering,College,Hyderabad,Telangana,17.431481,78.468149,Yes,No,Yes,No,No,Yes,No,No,Average,Average,Medium,Yes,No,No,High,15,522,2.8,6,12,1,NA,Yes,54.8,Poor,High
LOC0279,Lucknow Plaza Mall,Mall,Lucknow,Uttar Pradesh,26.802133,81.07882,Yes,Yes,No,Yes,No,No,Yes,Yes,Average,Good,Low,Yes,No,Yes,Medium,26,7780,3.4,2,16,3,Poor,Partial,67.2,Average,Medium
LOC0280,Thiruvananthapuram Green Park,Park,Thiruvananthapuram,Kerala,8.53628,76.858312,Yes,Yes,Yes,No,No,Yes,No,Yes,Average,Average,Medium,Yes,Yes,No,Medium,19,1659,3.9,1,18,1,Average,Partial,76.2,Good,Low
LOC0281,Kanpur Railway Station,Railway Station,Kanpur,Uttar Pradesh,26.466121,80.277416,No,No,Yes,No,No,Yes,Yes,No,Poor,Good,Low,Yes,Yes,Yes,High,8,9130,3.9,5,22,3,NA,Yes,44.4,Poor,High
LOC0282,Pune Municipal Office,Government Office,Pune,Maharashtra,18.55036,73.738821,Yes,Yes,No,No,No,No,No,Yes,Poor,Poor,Medium,No,Yes,Yes,Low,29,2782,2.2,0,3,3,Average,Partial,47.1,Poor,High
LOC0283,Kochi Railway Station,Railway Station,Kochi,Kerala,9.7942,76.195693,No,Yes,No,No,No,No,No,Yes,Average,Average,Medium,Yes,Yes,Yes,High,31,11010,2.5,4,11,2,Good,No,44.6,Poor,High
LOC0284,Chennai Domestic Airport,Airport,Chennai,Tamil Nadu,13.040392,80.307789,No,Yes,Yes,No,Yes,Yes,No,Yes,Poor,Poor,High,Yes,No,No,High,17,14265,3.7,4,10,3,Good,Yes,61.4,Average,Medium
LOC0285,Bengaluru Central Station,Railway Station,Bengaluru,Karnataka,12.910416,77.61179,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Average,Average,Low,Yes,Yes,Yes,Medium,16,17983,3,3,14,3,NA,No,63.5,Average,Medium
LOC0286,Hyderabad Central Park,Park,Hyderabad,Telangana,17.311905,78.368142,Yes,No,No,Yes,No,No,No,Yes,Average,Good,Low,Yes,No,Yes,High,20,597,4.5,11,20,1,NA,Partial,48.7,Poor,High
LOC0287,Nashik International Airport,Airport,Nashik,Maharashtra,19.875681,73.898989,Yes,Yes,Yes,No,No,No,Yes,Yes,Poor,Average,Medium,Yes,No,Yes,High,27,8764,3.8,1,17,5,Average,Partial,64.1,Average,Medium
LOC0288,Chennai Degree College,College,Chennai,Tamil Nadu,13.120375,80.179286,No,Yes,Yes,No,No,No,No,No,Average,Good,Low,Yes,Yes,Yes,Medium,22,702,3.7,2,14,3,Average,No,47.4,Poor,High
LOC0289,Bengaluru Collectorate Office,Government Office,Bengaluru,Karnataka,13.03617,77.738,Yes,No,No,No,No,No,No,Yes,Average,Average,Low,Yes,No,Yes,High,18,3614,3.1,5,3,2,NA,No,33.8,Poor,High
LOC0290,Thane City Centre Mall,Mall,Thane,Maharashtra,19.070947,72.900858,No,Yes,Yes,Yes,No,Yes,No,No,Good,Good,High,Yes,Yes,Yes,High,6,10482,4.3,1,8,4,Poor,Yes,89.9,Good,Low
LOC0291,Delhi Collectorate Office,Government Office,Delhi,Delhi,28.778714,77.170216,Yes,No,Yes,No,Yes,Yes,No,No,Good,Good,Medium,Yes,No,Yes,Low,38,617,2,2,13,2,NA,Partial,75.5,Good,Low
LOC0292,Bengaluru Central Park,Park,Bengaluru,Karnataka,12.953636,77.639523,No,No,Yes,No,No,Yes,No,Yes,Average,Average,Medium,Yes,Yes,Yes,Low,6,2950,2.9,1,5,1,NA,Partial,59.2,Average,Medium
LOC0293,Udaipur Grand Mall,Mall,Udaipur,Rajasthan,24.622574,73.85459,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Good,Good,Low,Yes,No,No,High,28,6972,4,2,5,5,Average,Yes,93.7,Excellent,Medium
LOC0294,Mysuru Domestic Airport,Airport,Mysuru,Karnataka,12.372397,76.64227,No,Yes,Yes,No,No,No,No,Yes,Average,Good,High,No,No,Yes,Medium,18,9784,2.4,1,0,7,Good,Yes,72.4,Average,Low
LOC0295,Bhopal Degree College,College,Bhopal,Madhya Pradesh,23.30112,77.550881,No,No,Yes,Yes,Yes,No,No,Yes,Good,Poor,High,No,Yes,No,Low,29,4126,3.4,3,14,3,NA,Partial,65.7,Average,Low
LOC0296,Thiruvananthapuram Lake View Point,Tourist Attraction,Thiruvananthapuram,Kerala,8.407168,77.064218,Yes,Yes,No,No,No,No,Yes,Yes,Average,Good,Low,Yes,Yes,Yes,High,3,2071,3.8,5,16,1,Poor,No,51,Poor,High
LOC0297,Bhopal Temple Complex,Tourist Attraction,Bhopal,Madhya Pradesh,23.399262,77.542833,Yes,No,Yes,No,No,Yes,No,No,Average,Average,Medium,No,No,Yes,Medium,15,2247,3.2,4,2,1,NA,No,51.1,Poor,High
LOC0298,Surat Health Centre,Hospital,Surat,Gujarat,21.022781,72.887545,Yes,Yes,Yes,No,Yes,Yes,No,No,Good,Poor,Low,Yes,No,Yes,Medium,16,3531,3,0,0,5,Poor,Partial,66,Average,Medium
LOC0299,Chandigarh City Centre Mall,Mall,Chandigarh,Chandigarh,30.711879,76.640363,Yes,No,No,Yes,No,Yes,No,Yes,Average,Good,Medium,Yes,No,Yes,High,9,9285,3.8,4,13,6,NA,Yes,71.2,Average,Medium
LOC0300,Kolkata Institute of Technology,College,Kolkata,West Bengal,22.464862,88.220848,No,No,Yes,No,No,No,Yes,No,Average,Average,Medium,Yes,Yes,No,High,35,4567,3,4,2,3,NA,Partial,45.5,Poor,High
LOC0301,Lucknow Central Park,Park,Lucknow,Uttar Pradesh,26.913648,81.047121,No,No,No,Yes,No,Yes,No,No,Poor,Average,Medium,No,Yes,Yes,Medium,3,1371,3.5,5,16,1,NA,No,35.1,Poor,High
LOC0302,Bhopal City Bus Stop,Bus Stop,Bhopal,Madhya Pradesh,23.357493,77.319291,No,No,No,No,No,Yes,Yes,No,Good,Average,Low,No,Yes,No,High,24,2029,3.9,5,5,1,NA,No,38,Poor,High
LOC0303,Surat City Hospital,Hospital,Surat,Gujarat,21.249122,72.916305,No,No,Yes,No,Yes,Yes,Yes,No,Good,Average,Low,Yes,Yes,Yes,Low,10,4854,3.2,0,12,2,NA,No,59.8,Average,Medium
LOC0304,Thiruvananthapuram Degree College,College,Thiruvananthapuram,Kerala,8.570818,76.952029,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Good,Good,High,Yes,No,Yes,High,20,3449,3.4,1,10,3,NA,Partial,93.9,Excellent,Low
LOC0305,Patna Junction,Railway Station,Patna,Bihar,25.676195,85.239053,Yes,No,No,Yes,No,Yes,No,No,Average,Good,High,Yes,Yes,No,High,11,16492,4,6,6,2,NA,Partial,69.3,Average,Medium
LOC0306,Nashik College of Engineering,College,Nashik,Maharashtra,19.965709,73.808468,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Good,Average,High,Yes,No,No,Low,39,1232,2.8,0,22,3,Poor,Yes,96.1,Excellent,Low
LOC0307,Nagpur Railway Station,Railway Station,Nagpur,Maharashtra,21.05059,78.940439,No,Yes,No,No,No,No,No,No,Poor,Good,Low,No,Yes,No,High,16,11018,1.6,6,19,3,Poor,Partial,17.1,Poor,High
LOC0308,Nashik Municipal Office,Government Office,Nashik,Maharashtra,20.088252,73.759862,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Average,Average,Medium,No,Yes,Yes,Medium,25,2860,4.3,1,1,1,Average,Partial,87,Good,Low
LOC0309,Bhopal Collectorate Office,Government Office,Bhopal,Madhya Pradesh,23.233049,77.423502,Yes,No,No,No,Yes,No,No,Yes,Good,Good,Medium,Yes,No,Yes,Medium,29,2226,2.4,5,19,1,NA,Partial,63.4,Average,Medium
LOC0310,Thiruvananthapuram Bus Depot,Bus Stop,Thiruvananthapuram,Kerala,8.497442,77.046,Yes,No,Yes,No,No,No,No,Yes,Average,Average,Medium,Yes,No,Yes,High,4,1647,3.6,6,5,1,NA,Yes,58.2,Average,Medium
LOC0311,Jaipur Bus Stand,Bus Stop,Jaipur,Rajasthan,26.931548,75.764996,No,No,Yes,No,No,No,No,No,Good,Good,Low,Yes,Yes,No,High,7,980,2.7,6,16,1,NA,No,33.9,Poor,High
LOC0312,Mysuru Tehsil Office,Government Office,Mysuru,Karnataka,12.155379,76.736964,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Average,Average,Medium,Yes,Yes,Yes,Low,24,1969,2.7,2,0,2,Poor,Yes,82.5,Good,Low
LOC0313,Indore International Airport,Airport,Indore,Madhya Pradesh,22.62811,75.724536,Yes,Yes,Yes,No,No,Yes,No,No,Good,Average,High,Yes,Yes,Yes,Medium,35,19318,4.2,0,18,4,Average,Yes,93.9,Excellent,Low
LOC0314,Mumbai Green Park,Park,Mumbai,Maharashtra,19.124015,72.778749,Yes,No,No,No,No,No,No,No,Average,Good,Medium,No,Yes,Yes,Low,22,1788,2.4,3,14,1,NA,Partial,49.7,Poor,Medium
LOC0315,Visakhapatnam Museum,Tourist Attraction,Visakhapatnam,Andhra Pradesh,17.70632,83.09222,No,No,No,Yes,No,No,No,Yes,Average,Poor,Medium,No,Yes,No,Medium,3,2911,2.2,7,15,1,NA,No,25.8,Poor,High
LOC0316,Nagpur Institute of Technology,College,Nagpur,Maharashtra,21.118454,78.991502,Yes,No,Yes,Yes,No,No,No,No,Poor,Average,Low,No,Yes,No,High,12,1075,2.9,8,18,3,NA,Yes,37.6,Poor,High
LOC0317,Bhopal Lake View Point,Tourist Attraction,Bhopal,Madhya Pradesh,23.136959,77.433,Yes,No,No,Yes,No,Yes,Yes,Yes,Poor,Average,Low,Yes,No,Yes,High,10,967,2.7,6,7,1,NA,Yes,52.3,Poor,High
LOC0318,Patna Junction,Railway Station,Patna,Bihar,25.700068,85.166388,No,Yes,Yes,No,No,No,No,Yes,Poor,Average,High,No,Yes,Yes,Medium,33,5483,3.5,1,3,2,Good,Yes,65.2,Average,Medium
LOC0319,Kanpur College of Engineering,College,Kanpur,Uttar Pradesh,26.532977,80.192718,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,Poor,High,Yes,No,No,Medium,7,3678,2.7,1,19,1,Average,Yes,88.5,Good,Low
LOC0320,Patna City Centre Mall,Mall,Patna,Bihar,25.523283,85.148204,No,No,Yes,No,Yes,Yes,No,Yes,Good,Average,High,Yes,No,Yes,Low,43,12033,3.8,2,14,4,NA,No,70.7,Average,Low
LOC0321,Nagpur City Bus Stop,Bus Stop,Nagpur,Maharashtra,21.030956,78.958886,No,Yes,No,No,Yes,Yes,No,Yes,Poor,Average,High,No,Yes,No,High,11,2400,2.9,5,5,1,Poor,Partial,49,Poor,High
LOC0322,Kochi Shopping Mall,Mall,Kochi,Kerala,9.898254,76.365531,Yes,Yes,No,No,No,No,No,No,Good,Poor,High,No,Yes,No,Medium,11,8068,3.5,1,21,2,Poor,No,51.6,Poor,Medium
LOC0323,Chennai Public Garden,Park,Chennai,Tamil Nadu,13.224593,80.313384,Yes,Yes,Yes,Yes,No,Yes,No,No,Poor,Average,Low,Yes,Yes,Yes,High,16,822,3,10,15,1,Average,No,47.8,Poor,High
LOC0324,Jaipur Medical Center,Hospital,Jaipur,Rajasthan,27.028654,75.77603,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Average,Poor,High,Yes,Yes,Yes,Low,25,2239,3.1,5,10,7,Poor,Partial,73.8,Average,Medium
LOC0325,Jaipur City Centre Mall,Mall,Jaipur,Rajasthan,26.998727,75.695824,Yes,Yes,Yes,Yes,Yes,No,No,No,Good,Good,Medium,Yes,No,Yes,Medium,39,9096,3.9,0,2,2,Good,Partial,97.4,Excellent,Low
LOC0326,Mumbai Multispeciality Hospital,Hospital,Mumbai,Maharashtra,19.053349,72.926349,Yes,Yes,Yes,No,Yes,Yes,No,No,Average,Average,Medium,Yes,Yes,Yes,Medium,20,2882,4.4,2,17,4,Good,Yes,87.1,Good,Low
LOC0327,Guwahati Green Park,Park,Guwahati,Assam,26.041083,91.756499,No,No,No,No,No,No,Yes,No,Poor,Average,Medium,Yes,No,Yes,Low,11,2583,3.4,2,16,1,NA,Partial,37.2,Poor,High
LOC0328,Nashik Health Centre,Hospital,Nashik,Maharashtra,19.915838,73.842552,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Good,Good,High,Yes,No,Yes,Medium,35,3731,3.9,2,20,7,Good,Yes,100,Excellent,Low
LOC0329,Indore Bus Depot,Bus Stop,Indore,Madhya Pradesh,22.620955,75.91083,Yes,No,No,No,No,No,Yes,No,Poor,Poor,Low,Yes,Yes,No,High,19,1276,2.5,6,6,1,NA,Partial,21.8,Poor,High
LOC0330,Chandigarh Degree College,College,Chandigarh,Chandigarh,30.632058,76.918114,Yes,Yes,No,No,No,Yes,No,No,Good,Average,Low,Yes,Yes,Yes,High,32,571,2.9,4,23,3,Poor,Partial,55,Average,High
LOC0331,Patna Airport Terminal,Airport,Patna,Bihar,25.561194,85.007376,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Good,Average,Medium,Yes,Yes,Yes,Medium,20,13151,3,0,14,2,Average,Partial,92.9,Excellent,Low
LOC0332,Coimbatore Green Park,Park,Coimbatore,Tamil Nadu,10.929599,76.96758,Yes,Yes,No,Yes,No,No,Yes,No,Poor,Good,Low,Yes,No,No,High,16,486,3.9,2,9,1,Poor,No,46.8,Poor,High
LOC0333,Bengaluru Government College,College,Bengaluru,Karnataka,12.964521,77.497829,Yes,No,Yes,Yes,Yes,Yes,No,No,Good,Poor,Medium,Yes,Yes,Yes,Low,32,1817,2.3,2,18,2,NA,No,67.6,Average,Medium
LOC0334,Nashik City Bus Stop,Bus Stop,Nashik,Maharashtra,19.950266,73.832531,Yes,No,Yes,No,No,No,No,Yes,Poor,Average,Medium,No,Yes,Yes,Medium,24,1768,2,3,1,1,NA,No,40.5,Poor,High
LOC0335,Bhopal City Park,Park,Bhopal,Madhya Pradesh,23.358383,77.38882,Yes,Yes,Yes,No,Yes,No,No,No,Poor,Average,Medium,No,No,Yes,Medium,7,1819,3.5,3,16,1,Average,Partial,57.7,Average,Medium
LOC0336,Kolkata Medical Center,Hospital,Kolkata,West Bengal,22.576429,88.44281,No,No,No,No,Yes,No,No,Yes,Good,Good,Medium,Yes,No,Yes,Medium,38,3659,4,3,11,3,NA,Yes,65,Average,Medium
LOC0337,Hyderabad Institute of Technology,College,Hyderabad,Telangana,17.488455,78.502555,No,No,No,No,No,No,No,No,Poor,Average,High,Yes,Yes,No,High,27,4527,2.3,7,10,3,NA,Yes,30.8,Poor,High
LOC0338,Mumbai Grand Mall,Mall,Mumbai,Maharashtra,19.096583,72.788684,Yes,Yes,Yes,No,No,Yes,No,Yes,Average,Average,High,Yes,Yes,Yes,Medium,12,16284,2.8,1,22,4,Average,Yes,84.3,Good,Low
LOC0339,Mysuru College of Engineering,College,Mysuru,Karnataka,12.250164,76.772054,No,No,Yes,Yes,Yes,Yes,No,No,Good,Poor,Medium,No,Yes,Yes,Medium,26,4235,3.5,2,3,1,NA,Yes,68.5,Average,Medium
LOC0340,Hyderabad Temple Complex,Tourist Attraction,Hyderabad,Telangana,17.527505,78.500874,No,No,Yes,No,No,No,Yes,No,Average,Poor,Low,Yes,No,No,Medium,17,1100,3,0,1,1,NA,Yes,37.9,Poor,High
LOC0341,Visakhapatnam Tehsil Office,Government Office,Visakhapatnam,Andhra Pradesh,17.60045,83.275756,Yes,Yes,No,No,Yes,No,Yes,No,Good,Poor,Low,Yes,Yes,No,Low,16,3340,3.1,2,7,3,Good,Partial,65.7,Average,Medium
LOC0342,Thane Plaza Mall,Mall,Thane,Maharashtra,19.093154,73.072858,Yes,Yes,No,No,No,Yes,No,Yes,Poor,Good,Medium,Yes,Yes,No,Medium,16,3659,3,2,22,7,Good,Partial,65.1,Average,Medium
LOC0343,Thane Medical Center,Hospital,Thane,Maharashtra,19.11213,72.834261,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Average,Good,Medium,Yes,No,Yes,Medium,14,3378,3.8,1,17,2,Good,Yes,100,Excellent,Low
LOC0344,Bengaluru Tehsil Office,Government Office,Bengaluru,Karnataka,12.84066,77.511959,No,No,Yes,No,No,Yes,No,Yes,Average,Good,High,No,No,Yes,Medium,23,2972,3.4,2,19,1,NA,No,54.8,Poor,Medium
LOC0345,Udaipur Central Park,Park,Udaipur,Rajasthan,24.593811,73.856912,No,No,Yes,Yes,No,Yes,Yes,No,Poor,Poor,Low,No,Yes,No,Medium,23,2840,1.9,6,5,1,NA,Yes,34.2,Poor,High
LOC0346,Lucknow Botanical Garden,Tourist Attraction,Lucknow,Uttar Pradesh,26.939307,80.979333,Yes,No,Yes,No,No,No,No,Yes,Good,Average,Low,Yes,No,No,High,3,2227,2.4,6,10,1,NA,No,41.9,Poor,High
LOC0347,Visakhapatnam Institute of Technology,College,Visakhapatnam,Andhra Pradesh,17.835531,83.345641,No,No,Yes,Yes,Yes,Yes,No,Yes,Poor,Good,High,Yes,Yes,Yes,Low,21,1754,2.7,0,20,1,NA,Yes,76.1,Good,Low
LOC0348,Pune Railway Station,Railway Station,Pune,Maharashtra,18.591146,73.724112,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Poor,Poor,Low,Yes,Yes,Yes,High,37,12828,3.4,2,15,2,Average,Yes,67.4,Average,High
LOC0349,Kochi Bus Depot,Bus Stop,Kochi,Kerala,9.783585,76.336349,Yes,No,No,Yes,Yes,No,No,Yes,Good,Average,High,Yes,No,Yes,Low,9,1549,3.4,5,14,1,NA,Partial,79.1,Good,Low
LOC0350,Thiruvananthapuram Botanical Garden,Tourist Attraction,Thiruvananthapuram,Kerala,8.625508,76.826574,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Good,Average,Medium,No,Yes,No,Low,24,2696,2.9,0,15,1,Good,Partial,97.5,Excellent,Low
LOC0351,Indore Multispeciality Hospital,Hospital,Indore,Madhya Pradesh,22.732981,75.941002,Yes,No,No,Yes,No,No,Yes,Yes,Good,Poor,High,Yes,Yes,Yes,Low,15,1031,3.2,1,0,6,NA,Yes,81.8,Good,Low
LOC0352,Nashik General Hospital,Hospital,Nashik,Maharashtra,19.968598,73.654373,Yes,Yes,Yes,No,No,Yes,Yes,No,Good,Poor,High,Yes,Yes,Yes,Low,5,4013,3.4,3,16,4,Good,Yes,91.4,Excellent,Low
LOC0353,Thiruvananthapuram International Airport,Airport,Thiruvananthapuram,Kerala,8.522953,76.92312,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Good,Average,High,Yes,Yes,Yes,Medium,44,16500,3.9,0,20,2,Good,Yes,100,Excellent,Low
